#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         561     1.00563     1.00175 6.93583e-05
         562     1.00566     1.00176 6.95814e-05
         563     1.00568     1.00177 6.98049e-05
         564      1.0057     1.00178 7.00289e-05
         565     1.00573     1.00178 7.02534e-05
         566     1.00575     1.00179 7.04783e-05
         567     1.00577      1.0018 7.07036e-05
         568      1.0058      1.0018 7.09295e-05
         569     1.00582     1.00181 7.11558e-05
         570     1.00585     1.00182 7.13825e-05
         571     1.00587     1.00182 7.16098e-05
         572      1.0059     1.00183 7.18374e-05
         573     1.00592     1.00184 7.20656e-05
         574     1.00594     1.00185 7.22942e-05
         575     1.00597     1.00185 7.25233e-05
         576     1.00599     1.00186 7.27529e-05
         577     1.00602     1.00187 7.29829e-05
         578     1.00604     1.00187 7.32134e-05
         579     1.00607     1.00188 7.34444e-05
         580     1.00609     1.00189 7.36758e-05
         581     1.00612      1.0019 7.39077e-05
         582     1.00614      1.0019 7.41401e-05
         583     1.00617     1.00191  7.4373e-05
         584     1.00619     1.00192 7.46063e-05
         585     1.00622     1.00193 7.48402e-05
         586     1.00624     1.00193 7.50745e-05
         587     1.00627     1.00194 7.53093e-05
         588      1.0063     1.00195 7.55445e-05
         589     1.00632     1.00196 7.57803e-05
         590     1.00635     1.00196 7.60165e-05
         591     1.00637     1.00197 7.62533e-05
         592      1.0064     1.00198 7.64905e-05
         593     1.00642     1.00199 7.67282e-05
         594     1.00645     1.00199 7.69664e-05
         595     1.00648       1.002 7.72051e-05
         596      1.0065     1.00201 7.74442e-05
         597     1.00653     1.00202 7.76839e-05
         598     1.00656     1.00202 7.79241e-05
         599     1.00658     1.00203 7.81647e-05
         600     1.00661     1.00204 7.84059e-05
         601     1.00663     1.00205 7.86475e-05
         602     1.00666     1.00205 7.88896e-05
         603     1.00669     1.00206 7.91323e-05
         604     1.00671     1.00207 7.93754e-05
         605     1.00674     1.00208 7.96191e-05
         606     1.00677     1.00208 7.98632e-05
         607      1.0068     1.00209 8.01079e-05
         608     1.00682      1.0021  8.0353e-05
         609     1.00685     1.00211 8.05987e-05
         610     1.00688     1.00212 8.08449e-05
         611      1.0069     1.00212 8.10915e-05
         612     1.00693     1.00213 8.13387e-05
         613     1.00696     1.00214 8.15864e-05
         614     1.00699     1.00215 8.18346e-05
         615     1.00701     1.00215 8.20834e-05
         616     1.00704     1.00216 8.23326e-05
         617     1.00707     1.00217 8.25823e-05
         618      1.0071     1.00218 8.28326e-05
         619     1.00713     1.00219 8.30834e-05
         620     1.00715     1.00219 8.33347e-05
         621     1.00718      1.0022 8.35865e-05
         622     1.00721     1.00221 8.38389e-05
         623     1.00724     1.00222 8.40918e-05
         624     1.00727     1.00223 8.43452e-05
         625      1.0073     1.00224 8.45991e-05
         626     1.00732     1.00224 8.48536e-05
         627     1.00735     1.00225 8.51086e-05
         628     1.00738     1.00226 8.53641e-05
         629     1.00741     1.00227 8.56201e-05
         630     1.00744     1.00228 8.58767e-05
         631     1.00747     1.00228 8.61338e-05
         632      1.0075     1.00229 8.63915e-05
         633     1.00753      1.0023 8.66497e-05
         634     1.00755     1.00231 8.69084e-05
         635     1.00758     1.00232 8.71677e-05
         636     1.00761     1.00233 8.74275e-05
         637     1.00764     1.00233 8.76878e-05
         638     1.00767     1.00234 8.79487e-05
         639      1.0077     1.00235 8.82101e-05
         640     1.00773     1.00236 8.84721e-05
         641     1.00776     1.00237 8.87347e-05
         642     1.00779     1.00238 8.89977e-05
         643     1.00782     1.00238 8.92614e-05
         644     1.00785     1.00239 8.95256e-05
         645     1.00788      1.0024 8.97903e-05
         646     1.00791     1.00241 9.00556e-05
         647     1.00794     1.00242 9.03214e-05
         648     1.00797     1.00243 9.05878e-05
         649       1.008     1.00244 9.08548e-05
         650     1.00803     1.00244 9.11223e-05
         651     1.00806     1.00245 9.13904e-05
         652      1.0081     1.00246  9.1659e-05
         653     1.00813     1.00247 9.19282e-05
         654     1.00816     1.00248  9.2198e-05
         655     1.00819     1.00249 9.24683e-05
         656     1.00822      1.0025 9.27392e-05
         657     1.00825     1.00251 9.30107e-05
         658     1.00828     1.00251 9.32827e-05
         659     1.00831     1.00252 9.35553e-05
         660     1.00834     1.00253 9.38285e-05
         661     1.00838     1.00254 9.41023e-05
         662     1.00841     1.00255 9.43766e-05
         663     1.00844     1.00256 9.46515e-05
         664     1.00847     1.00257  9.4927e-05
